Datetime,Power_consumed,Power_consumed_normalized
2019-01-02,108.2,0.38571428571428573
2019-01-03,110.2,0.3993197278911565
2019-01-04,106.8,0.37619047619047613
2019-01-05,107.0,0.3775510204081632
2019-01-06,106.4,0.373469387755102
2019-01-07,109.3,0.3931972789115646
2019-01-08,102.9,0.3496598639455783
2019-01-09,131.7,0.5455782312925168
2019-01-10,140.1,0.602721088435374
2019-01-11,149.8,0.6687074829931972
2019-01-12,154.7,0.7020408163265304
2019-01-13,155.3,0.7061224489795919
2019-01-14,143.9,0.6285714285714286
2019-01-15,143.4,0.625170068027211
2019-01-16,152.9,0.6897959183673468
2019-01-17,167.7,0.7904761904761903
2019-01-18,175.9,0.8462585034013606
2019-01-19,180.6,0.8782312925170066
2019-01-20,178.9,0.8666666666666667
2019-01-21,178.9,0.8666666666666667
2019-01-22,173.0,0.8265306122448979
2019-01-23,183.4,0.8972789115646258
2019-01-24,175.5,0.8435374149659862
2019-01-25,161.2,0.7462585034013605
2019-01-26,169.5,0.8027210884353742
2019-01-27,135.6,0.5721088435374149
2019-01-28,103.6,0.35442176870748293
2019-01-29,131.5,0.5442176870748299
2019-01-30,125.7,0.5047619047619047
2019-01-31,126.1,0.5074829931972789
2019-02-02,128.0,0.5204081632653061
2019-02-03,127.6,0.5176870748299318
2019-02-04,131.6,0.5448979591836733
2019-02-05,136.8,0.5802721088435374
2019-02-06,138.9,0.5945578231292517
2019-02-07,115.4,0.43469387755102046
2019-02-08,115.1,0.4326530612244897
2019-02-09,117.4,0.4482993197278911
2019-02-10,123.7,0.49115646258503404
2019-02-11,124.9,0.4993197278911565
2019-02-12,123.3,0.4884353741496598
2019-02-13,116.8,0.44421768707482984
2019-02-14,124.4,0.4959183673469388
2019-02-15,125.4,0.5027210884353741
2019-02-16,126.8,0.5122448979591836
2019-02-17,128.6,0.5244897959183672
2019-02-18,132.4,0.5503401360544218
2019-02-19,127.1,0.5142857142857142
2019-02-20,119.8,0.464625850340136
2019-02-21,185.5,0.91156462585034
2019-02-22,186.1,0.9156462585034013
2019-02-23,198.1,0.9972789115646257
2019-02-24,189.0,0.9353741496598638
2019-02-25,175.9,0.8462585034013606
2019-02-26,176.0,0.846938775510204
2019-02-27,153.4,0.6931972789115646
2019-02-28,113.9,0.4244897959183674
2019-03-02,119.5,0.46258503401360546
2019-03-03,114.1,0.42585034013605433
2019-03-04,120.5,0.46938775510204084
2019-03-05,118.9,0.4585034013605442
2019-03-06,119.8,0.464625850340136
2019-03-07,111.4,0.40748299319727893
2019-03-08,163.7,0.7632653061224488
2019-03-09,167.1,0.7863945578231291
2019-03-10,170.3,0.8081632653061224
2019-03-11,173.5,0.8299319727891155
2019-03-12,178.5,0.8639455782312924
2019-03-13,177.2,0.8551020408163263
2019-03-14,165.2,0.7734693877551018
2019-03-15,98.4,0.3190476190476191
2019-03-16,97.7,0.31428571428571433
2019-03-17,91.6,0.27278911564625846
2019-03-18,97.1,0.31020408163265295
2019-03-19,106.8,0.37619047619047613
2019-03-20,101.9,0.3428571428571429
2019-03-21,95.6,0.3
2019-03-22,107.5,0.3809523809523809
2019-03-23,110.8,0.40340136054421766
2019-03-24,113.4,0.4210884353741497
2019-03-25,113.0,0.4183673469387755
2019-03-26,114.1,0.42585034013605433
2019-03-27,115.6,0.4360544217687074
2019-03-28,102.1,0.34421768707482986
2019-03-29,152.1,0.6843537414965986
2019-03-30,145.2,0.6374149659863944
2019-03-31,145.8,0.6414965986394559
2019-04-02,160.1,0.7387755102040814
2019-04-03,172.7,0.8244897959183672
2019-04-04,164.2,0.7666666666666664
